VCCNo,PollingPlaceLong,Tabulator,District,Office,CandidateName,Votes
ABS,MAIL ABSENTEE,ABS-1482-282-B,5,City Council District 5,ROBERT J. ARAGON,149
ABS,MAIL ABSENTEE,ABS-1482-282-B,6,Mayor,TIMOTHY M. KELLER,4
ABS,MAIL ABSENTEE,ABS-1482-282-B,6,Mayor,DAN LEWIS,5
ABS,MAIL ABSENTEE,ABS-1482-282-B,7,Mayor,TIMOTHY M. KELLER,19
ABS,MAIL ABSENTEE,ABS-1482-282-B,7,Mayor,DAN LEWIS,15
ABS,MAIL ABSENTEE,ABS-1482-282-B,8,Mayor,TIMOTHY M. KELLER,225
ABS,MAIL ABSENTEE,ABS-1482-282-B,8,Mayor,DAN LEWIS,243
ABS,MAIL ABSENTEE,ABS-1482-282-B,9,Mayor,TIMOTHY M. KELLER,205
ABS,MAIL ABSENTEE,ABS-1482-282-B,9,Mayor,DAN LEWIS,204
ABS,MAIL ABSENTEE,ABS-1483-283-C,1,Mayor,TIMOTHY M. KELLER,9
ABS,MAIL ABSENTEE,ABS-1483-283-C,1,Mayor,DAN LEWIS,3
ABS,MAIL ABSENTEE,ABS-1483-283-C,2,Mayor,TIMOTHY M. KELLER,83
ABS,MAIL ABSENTEE,ABS-1483-283-C,2,Mayor,DAN LEWIS,21
ABS,MAIL ABSENTEE,ABS-1483-283-C,3,Mayor,TIMOTHY M. KELLER,3
ABS,MAIL ABSENTEE,ABS-1483-283-C,3,Mayor,DAN LEWIS,2
ABS,MAIL ABSENTEE,ABS-1483-283-C,4,Mayor,TIMOTHY M. KELLER,6
ABS,MAIL ABSENTEE,ABS-1483-283-C,4,Mayor,DAN LEWIS,7
ABS,MAIL ABSENTEE,ABS-1483-283-C,5,Mayor,TIMOTHY M. KELLER,6
ABS,MAIL ABSENTEE,ABS-1483-283-C,5,Mayor,DAN LEWIS,7
ABS,MAIL ABSENTEE,ABS-1483-283-C,5,City Council District 5,CYNTHIA D. BORREGO,3
ABS,MAIL ABSENTEE,ABS-1483-283-C,5,City Council District 5,ROBERT J. ARAGON,10
ABS,MAIL ABSENTEE,ABS-1483-283-C,6,Mayor,TIMOTHY M. KELLER,23
ABS,MAIL ABSENTEE,ABS-1483-283-C,6,Mayor,DAN LEWIS,3
ABS,MAIL ABSENTEE,ABS-1483-283-C,7,Mayor,TIMOTHY M. KELLER,12
ABS,MAIL ABSENTEE,ABS-1483-283-C,7,Mayor,DAN LEWIS,5
ABS,MAIL ABSENTEE,ABS-1483-283-C,8,Mayor,TIMOTHY M. KELLER,6
ABS,MAIL ABSENTEE,ABS-1483-283-C,8,Mayor,DAN LEWIS,5
ABS,MAIL ABSENTEE,ABS-1483-283-C,9,Mayor,TIMOTHY M. KELLER,6
ABS,MAIL ABSENTEE,ABS-1483-283-C,9,Mayor,DAN LEWIS,3
EVCC01,98TH AND CENTRAL,EV-1203-005-A,1,Mayor,TIMOTHY M. KELLER,163
EVCC01,98TH AND CENTRAL,EV-1203-005-A,1,Mayor,DAN LEWIS,97
EVCC01,98TH AND CENTRAL,EV-1203-005-A,2,Mayor,TIMOTHY M. KELLER,23
EVCC01,98TH AND CENTRAL,EV-1203-005-A,2,Mayor,DAN LEWIS,7
EVCC01,98TH AND CENTRAL,EV-1203-005-A,3,Mayor,TIMOTHY M. KELLER,262
EVCC01,98TH AND CENTRAL,EV-1203-005-A,3,Mayor,DAN LEWIS,172
EVCC01,98TH AND CENTRAL,EV-1203-005-A,4,Mayor,TIMOTHY M. KELLER,1
EVCC01,98TH AND CENTRAL,EV-1203-005-A,4,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1203-005-A,5,Mayor,TIMOTHY M. KELLER,11
EVCC01,98TH AND CENTRAL,EV-1203-005-A,5,Mayor,DAN LEWIS,12
EVCC01,98TH AND CENTRAL,EV-1203-005-A,5,City Council District 5,CYNTHIA D. BORREGO,11
EVCC01,98TH AND CENTRAL,EV-1203-005-A,5,City Council District 5,ROBERT J. ARAGON,11
EVCC01,98TH AND CENTRAL,EV-1203-005-A,6,Mayor,TIMOTHY M. KELLER,4
EVCC01,98TH AND CENTRAL,EV-1203-005-A,6,Mayor,DAN LEWIS,2
EVCC01,98TH AND CENTRAL,EV-1203-005-A,7,Mayor,TIMOTHY M. KELLER,8
EVCC01,98TH AND CENTRAL,EV-1203-005-A,7,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1203-005-A,8,Mayor,TIMOTHY M. KELLER,1
EVCC01,98TH AND CENTRAL,EV-1203-005-A,8,Mayor,DAN LEWIS,2
EVCC01,98TH AND CENTRAL,EV-1203-005-A,9,Mayor,TIMOTHY M. KELLER,9
EVCC01,98TH AND CENTRAL,EV-1203-005-A,9,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1204-006-B,1,Mayor,TIMOTHY M. KELLER,228
EVCC01,98TH AND CENTRAL,EV-1204-006-B,1,Mayor,DAN LEWIS,136
EVCC01,98TH AND CENTRAL,EV-1204-006-B,2,Mayor,TIMOTHY M. KELLER,17
EVCC01,98TH AND CENTRAL,EV-1204-006-B,2,Mayor,DAN LEWIS,10
EVCC01,98TH AND CENTRAL,EV-1204-006-B,3,Mayor,TIMOTHY M. KELLER,280
EVCC01,98TH AND CENTRAL,EV-1204-006-B,3,Mayor,DAN LEWIS,156
EVCC01,98TH AND CENTRAL,EV-1204-006-B,4,Mayor,TIMOTHY M. KELLER,5
EVCC01,98TH AND CENTRAL,EV-1204-006-B,4,Mayor,DAN LEWIS,2
EVCC01,98TH AND CENTRAL,EV-1204-006-B,5,Mayor,TIMOTHY M. KELLER,6
EVCC01,98TH AND CENTRAL,EV-1204-006-B,5,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1204-006-B,5,City Council District 5,CYNTHIA D. BORREGO,4
EVCC01,98TH AND CENTRAL,EV-1204-006-B,5,City Council District 5,ROBERT J. ARAGON,2
EVCC01,98TH AND CENTRAL,EV-1204-006-B,6,Mayor,TIMOTHY M. KELLER,5
EVCC01,98TH AND CENTRAL,EV-1204-006-B,6,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1204-006-B,7,Mayor,TIMOTHY M. KELLER,3
EVCC01,98TH AND CENTRAL,EV-1204-006-B,7,Mayor,DAN LEWIS,3
EVCC01,98TH AND CENTRAL,EV-1204-006-B,8,Mayor,TIMOTHY M. KELLER,2
EVCC01,98TH AND CENTRAL,EV-1204-006-B,8,Mayor,DAN LEWIS,6
EVCC01,98TH AND CENTRAL,EV-1204-006-B,9,Mayor,TIMOTHY M. KELLER,4
EVCC01,98TH AND CENTRAL,EV-1204-006-B,9,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1205-007-C,1,Mayor,TIMOTHY M. KELLER,246
EVCC01,98TH AND CENTRAL,EV-1205-007-C,1,Mayor,DAN LEWIS,145
EVCC01,98TH AND CENTRAL,EV-1205-007-C,2,Mayor,TIMOTHY M. KELLER,24
EVCC01,98TH AND CENTRAL,EV-1205-007-C,2,Mayor,DAN LEWIS,6
EVCC01,98TH AND CENTRAL,EV-1205-007-C,3,Mayor,TIMOTHY M. KELLER,331
EVCC01,98TH AND CENTRAL,EV-1205-007-C,3,Mayor,DAN LEWIS,193
EVCC01,98TH AND CENTRAL,EV-1205-007-C,4,Mayor,TIMOTHY M. KELLER,6
EVCC01,98TH AND CENTRAL,EV-1205-007-C,4,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1205-007-C,5,Mayor,TIMOTHY M. KELLER,7
EVCC01,98TH AND CENTRAL,EV-1205-007-C,5,Mayor,DAN LEWIS,11
EVCC01,98TH AND CENTRAL,EV-1205-007-C,5,City Council District 5,CYNTHIA D. BORREGO,5
EVCC01,98TH AND CENTRAL,EV-1205-007-C,5,City Council District 5,ROBERT J. ARAGON,11
EVCC01,98TH AND CENTRAL,EV-1205-007-C,6,Mayor,TIMOTHY M. KELLER,8
EVCC01,98TH AND CENTRAL,EV-1205-007-C,6,Mayor,DAN LEWIS,2
EVCC01,98TH AND CENTRAL,EV-1205-007-C,7,Mayor,TIMOTHY M. KELLER,5
EVCC01,98TH AND CENTRAL,EV-1205-007-C,7,Mayor,DAN LEWIS,4
EVCC01,98TH AND CENTRAL,EV-1205-007-C,8,Mayor,TIMOTHY M. KELLER,4
EVCC01,98TH AND CENTRAL,EV-1205-007-C,8,Mayor,DAN LEWIS,1
EVCC01,98TH AND CENTRAL,EV-1205-007-C,9,Mayor,TIMOTHY M. KELLER,1
EVCC01,98TH AND CENTRAL,EV-1205-007-C,9,Mayor,DAN LEWIS,4
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,1,Mayor,TIMOTHY M. KELLER,55
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,1,Mayor,DAN LEWIS,13
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,2,Mayor,TIMOTHY M. KELLER,961
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,2,Mayor,DAN LEWIS,187
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,3,Mayor,TIMOTHY M. KELLER,11
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,3,Mayor,DAN LEWIS,2
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,4,Mayor,TIMOTHY M. KELLER,14
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,4,Mayor,DAN LEWIS,9
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,5,Mayor,TIMOTHY M. KELLER,13
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,5,Mayor,DAN LEWIS,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,5,City Council District 5,CYNTHIA D. BORREGO,12
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,5,City Council District 5,ROBERT J. ARAGON,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,6,Mayor,TIMOTHY M. KELLER,55
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,6,Mayor,DAN LEWIS,2
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,7,Mayor,TIMOTHY M. KELLER,24
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,7,Mayor,DAN LEWIS,9
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,8,Mayor,TIMOTHY M. KELLER,15
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,8,Mayor,DAN LEWIS,5
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,9,Mayor,TIMOTHY M. KELLER,11
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1206-008-A,9,Mayor,DAN LEWIS,7
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,1,Mayor,TIMOTHY M. KELLER,39
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,1,Mayor,DAN LEWIS,14
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,2,Mayor,TIMOTHY M. KELLER,1004
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,2,Mayor,DAN LEWIS,204
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,3,Mayor,TIMOTHY M. KELLER,6
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,3,Mayor,DAN LEWIS,4
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,4,Mayor,TIMOTHY M. KELLER,20
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,4,Mayor,DAN LEWIS,9
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,5,Mayor,TIMOTHY M. KELLER,13
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,5,Mayor,DAN LEWIS,8
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,5,City Council District 5,CYNTHIA D. BORREGO,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,5,City Council District 5,ROBERT J. ARAGON,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,6,Mayor,TIMOTHY M. KELLER,46
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,6,Mayor,DAN LEWIS,8
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,7,Mayor,TIMOTHY M. KELLER,26
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,7,Mayor,DAN LEWIS,3
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,8,Mayor,TIMOTHY M. KELLER,5
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,8,Mayor,DAN LEWIS,9
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,9,Mayor,TIMOTHY M. KELLER,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1207-009-B,9,Mayor,DAN LEWIS,6
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,1,Mayor,TIMOTHY M. KELLER,47
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,1,Mayor,DAN LEWIS,15
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,2,Mayor,TIMOTHY M. KELLER,981
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,2,Mayor,DAN LEWIS,203
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,3,Mayor,TIMOTHY M. KELLER,11
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,3,Mayor,DAN LEWIS,8
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,4,Mayor,TIMOTHY M. KELLER,15
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,4,Mayor,DAN LEWIS,11
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,5,Mayor,TIMOTHY M. KELLER,16
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,5,Mayor,DAN LEWIS,9
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,5,City Council District 5,CYNTHIA D. BORREGO,13
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,5,City Council District 5,ROBERT J. ARAGON,10
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,6,Mayor,TIMOTHY M. KELLER,40
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,6,Mayor,DAN LEWIS,6
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,7,Mayor,TIMOTHY M. KELLER,23
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,7,Mayor,DAN LEWIS,4
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,8,Mayor,TIMOTHY M. KELLER,8
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,8,Mayor,DAN LEWIS,5
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,9,Mayor,TIMOTHY M. KELLER,6
EVCC09,CITY OF ALBUQUERQUE RECORDS CENTER,EV-1208-010-C,9,Mayor,DAN LEWIS,7
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,1,Mayor,TIMOTHY M. KELLER,81
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,1,Mayor,DAN LEWIS,28
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,2,Mayor,TIMOTHY M. KELLER,17
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,2,Mayor,DAN LEWIS,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,3,Mayor,TIMOTHY M. KELLER,96
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,3,Mayor,DAN LEWIS,42
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,5,Mayor,TIMOTHY M. KELLER,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,5,Mayor,DAN LEWIS,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,5,City Council District 5,CYNTHIA D. BORREGO,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,5,City Council District 5,ROBERT J. ARAGON,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,6,Mayor,TIMOTHY M. KELLER,5
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,6,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,7,Mayor,TIMOTHY M. KELLER,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,7,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,9,Mayor,TIMOTHY M. KELLER,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1209-011-A,9,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,1,Mayor,TIMOTHY M. KELLER,74
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,1,Mayor,DAN LEWIS,35
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,2,Mayor,TIMOTHY M. KELLER,15
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,2,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,3,Mayor,TIMOTHY M. KELLER,97
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,3,Mayor,DAN LEWIS,46
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,5,Mayor,TIMOTHY M. KELLER,4
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,5,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,5,City Council District 5,CYNTHIA D. BORREGO,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,5,City Council District 5,ROBERT J. ARAGON,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,6,Mayor,TIMOTHY M. KELLER,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,6,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,7,Mayor,TIMOTHY M. KELLER,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,7,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,8,Mayor,TIMOTHY M. KELLER,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,8,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,9,Mayor,TIMOTHY M. KELLER,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1210-012-B,9,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,1,Mayor,TIMOTHY M. KELLER,40
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,1,Mayor,DAN LEWIS,14
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,2,Mayor,TIMOTHY M. KELLER,7
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,2,Mayor,DAN LEWIS,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,3,Mayor,TIMOTHY M. KELLER,38
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,3,Mayor,DAN LEWIS,27
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,4,Mayor,TIMOTHY M. KELLER,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,4,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,5,Mayor,TIMOTHY M. KELLER,5
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,5,Mayor,DAN LEWIS,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,5,City Council District 5,CYNTHIA D. BORREGO,4
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,5,City Council District 5,ROBERT J. ARAGON,3
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,6,Mayor,TIMOTHY M. KELLER,9
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,6,Mayor,DAN LEWIS,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,7,Mayor,TIMOTHY M. KELLER,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,7,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,8,Mayor,TIMOTHY M. KELLER,2
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,8,Mayor,DAN LEWIS,0
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,9,Mayor,TIMOTHY M. KELLER,1
EVCC15,ALAMOSA COMMUNITY CENTER,EV-1211-013-C,9,Mayor,DAN LEWIS,1
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,1,Mayor,TIMOTHY M. KELLER,14
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,1,Mayor,DAN LEWIS,14
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,2,Mayor,TIMOTHY M. KELLER,31
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,2,Mayor,DAN LEWIS,12
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,3,Mayor,TIMOTHY M. KELLER,4
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,3,Mayor,DAN LEWIS,2
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,4,Mayor,TIMOTHY M. KELLER,812
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,4,Mayor,DAN LEWIS,768
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,5,Mayor,TIMOTHY M. KELLER,26
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,5,Mayor,DAN LEWIS,22
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,5,City Council District 5,CYNTHIA D. BORREGO,26
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,5,City Council District 5,ROBERT J. ARAGON,16
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,6,Mayor,TIMOTHY M. KELLER,23
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,6,Mayor,DAN LEWIS,4
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,7,Mayor,TIMOTHY M. KELLER,46
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,7,Mayor,DAN LEWIS,33
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,8,Mayor,TIMOTHY M. KELLER,152
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,8,Mayor,DAN LEWIS,134
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,9,Mayor,TIMOTHY M. KELLER,20
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1212-014-A,9,Mayor,DAN LEWIS,22
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,1,Mayor,TIMOTHY M. KELLER,16
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,1,Mayor,DAN LEWIS,8
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,2,Mayor,TIMOTHY M. KELLER,23
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,2,Mayor,DAN LEWIS,9
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,3,Mayor,TIMOTHY M. KELLER,4
EVCC23,NORTH DOMINGO BACA MULTIGENERATIONAL CENTER,EV-1213-015-B,3,Mayor,DAN LEWIS,3
