VCCNo,PollingPlaceLong,Tabulator,District,Office,CandidateName,Votes
ABS,MAIL ABSENTEE,ABS-1481-281-A,1,Mayor,TIMOTHY M. KELLER,138
ABS,MAIL ABSENTEE,ABS-1481-281-A,1,Mayor,DAN LEWIS,87
ABS,MAIL ABSENTEE,ABS-1481-281-A,2,Mayor,TIMOTHY M. KELLER,267
ABS,MAIL ABSENTEE,ABS-1481-281-A,2,Mayor,DAN LEWIS,77
ABS,MAIL ABSENTEE,ABS-1481-281-A,4,Mayor,TIMOTHY M. KELLER,1
ABS,MAIL ABSENTEE,ABS-1481-281-A,4,Mayor,DAN LEWIS,0
ABS,MAIL ABSENTEE,ABS-1481-281-A,6,Mayor,TIMOTHY M. KELLER,152
ABS,MAIL ABSENTEE,ABS-1481-281-A,6,Mayor,DAN LEWIS,68
ABS,MAIL ABSENTEE,ABS-1481-281-A,7,Mayor,TIMOTHY M. KELLER,224
ABS,MAIL ABSENTEE,ABS-1481-281-A,7,Mayor,DAN LEWIS,175
ABS,MAIL ABSENTEE,ABS-1481-281-A,8,Mayor,TIMOTHY M. KELLER,1
ABS,MAIL ABSENTEE,ABS-1481-281-A,8,Mayor,DAN LEWIS,0
ABS,MAIL ABSENTEE,ABS-1482-282-B,1,Mayor,TIMOTHY M. KELLER,8
ABS,MAIL ABSENTEE,ABS-1482-282-B,1,Mayor,DAN LEWIS,5
ABS,MAIL ABSENTEE,ABS-1482-282-B,2,Mayor,TIMOTHY M. KELLER,14
ABS,MAIL ABSENTEE,ABS-1482-282-B,2,Mayor,DAN LEWIS,3
ABS,MAIL ABSENTEE,ABS-1482-282-B,3,Mayor,TIMOTHY M. KELLER,53
ABS,MAIL ABSENTEE,ABS-1482-282-B,3,Mayor,DAN LEWIS,61
ABS,MAIL ABSENTEE,ABS-1482-282-B,4,Mayor,TIMOTHY M. KELLER,199
ABS,MAIL ABSENTEE,ABS-1482-282-B,4,Mayor,DAN LEWIS,150
ABS,MAIL ABSENTEE,ABS-1482-282-B,5,Mayor,TIMOTHY M. KELLER,124
ABS,MAIL ABSENTEE,ABS-1482-282-B,5,Mayor,DAN LEWIS,171
ABS,MAIL ABSENTEE,ABS-1482-282-B,5,City Council District 5,CYNTHIA D. BORREGO,138
